full_address,latitude,longitude,total_leasedSF,company_list,sector_list,lease_count
"1 Vanderbilt Ave, New York, NY, 10017",40.7529718,-73.9785423,1269800,"Greenberg Traurig LLP; Carlyle Group; American Express; Walker & Dunlop; Cipher Mining; Tennor Holding B.v; Gfl Environmental; NA; Stone Point Capital; Castleton Commodities International; Mcdermott Will & Emery; Kps Capital Partners; Sentinel Capital Partners; Oak Hill Advisors; Accordion Partners; Msd Partners,; Nearwater Capital; Kyndryl; Mubadala Investment; Stone Ridge Asset Management; Td Securities; 17 Capital; Stone Point Capital; Mcdermott Will & Emery; NA; Carlyle Group; NA; Intandem Capital Partners/Sagewind Capital; The Carlyle Group; NA; NA; Fis Global; AIMCO; United Healthcare; Td Securities; Oak Hill Advisors; Hodges Ward Elliott; Dz Bank; 1life Healthcare; Heidrick & Struggles, International; Uipath; Stone Point Capital; Flexpoint Ford; NA","Legal Services; Financial Services And Insurance; Real Estate (Except Coworking Providers); Energy & Utilities; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Technology, Advertising, Media, And Information; Healthcare; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech)",44
"1 W 34th St, New York, NY, 10001",40.7510985,-73.9919723,30218,NA; British Virgin Islands Tourist Board; NA; Body Mechanics; Dr.stein; NA; NA; NA; NA; NA; NA; NA; Astor Accesories; NA,NA; Transportation,14
"1 Whitehall St, New York, NY, 10004",40.7038284,-74.0127779,138383,NA; NA; NA; Hamilton Advance; Hwkn Architecture; Adstruc; NA; The Topps; NA,"NA; Financial Services And Insurance; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information; Retail",9
"1-13 E 33rd St, New York, NY, 10016",40.7452584,-73.9790701,101072,NA; European Home Designs; J.e.m. International; Regal Jewelry; NA; Q4 Designs; NA,"NA; Retail; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd",7
"10 Astor Pl, New York, NY, 10003",40.729822,-73.9920048,22000,NA; Maybern,"NA; Technology, Advertising, Media, And Information",2
"10 Crosby St, New York, NY, 10013",40.7199815,-74.0003741,16850,NA; Sakara Life,NA; Retail,2
"10 E 39th St, New York, NY, 10016",40.7511092,-73.9815702,18011,NA; NA; NA; NA; G & I Travel; NA; NA; NA; NA; NA; NA,NA; Transportation,11
"10 E 40th St, New York, NY, 10016",40.7517726,-73.9810488,294704,The Echo Design Group; NA; Hart Howerton; NA; NA; Impax Asset Mgmt; Prospect Capital; NA; NA; NA; Visible Alpha; NA; Alpha Square Group; NA; American Heart Association; NA; NA; Pirelli North America; Berkman Bottger Newman & Schein; NA; NA; NA; Wework; NA; NA; NA; Ergo; NA,"Retail; NA; Construction, Engineering And Architecture; Financial Services And Insurance; Technology, Advertising, Media, And Information; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Transportation; Legal Services; Coworking And Executive Suite Companies; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",28
"10 E 53rd St, New York, NY, 10022",40.7597879,-73.9752965,240169,NA; Altaris Capital; NA; NA; NA; Bridgepoint Advisers; NA; Compass; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Acc Investments; Citizens Jmp Securities; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA; Financial Services And Insurance; Tbd; Real Estate (Except Coworking Providers); Unclassifiable,37
"10 Hudson Yards, New York, NY, 10001",40.7527324,-74.0015279,231211,NA; Kkr & Co. L.p; Boston Consulting Group; Ardea Partners; Boston Consulting Group; L'oreal; NA; Ardea Partners; NA,"NA; Financial Services And Insurance; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail",9
"10 Rockefeller Plaza, New York, NY, 10020",40.757976,-73.9794142,191016,NA; Three Sixty Brand Group; First Republic Bank; First Republic Bank; Christies,NA; Financial Services And Insurance; Retail,5
"10 W 18th St, New York, NY, 10011",40.7387535,-73.9929149,12000,NA; NA; NA; Rebel Hospitality,NA,4
"10 W 33rd St, New York, NY, 10001",40.7479614,-73.9857859,182991,NA; Gina Group; NA; Cudlie Accessories; NA; NA; Wellspun Usa; NA; NA; NA; NA; NA; NA; NA; NA; NA; Sam Hedeya Linens; NA; Artistic Linen; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Lynco Products; NA; Supply Accessories; Welspun Group; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Retail; Personal Services And Recreation; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech)",47
"10 W 46th St, New York, NY, 10036",40.7562097,-73.9800628,7396,NA; NA; Vantage Point Alternative; Carat World; NA; NA,NA,6
"100 Avenue of the Americas, New York, NY, 10013",40.7192013,-74.0051489,316197,Two Sigma; NA; NA,Financial Services And Insurance; NA,3
"100 Broadway, New York, NY, 10005",40.7079777,-74.0110935,158285,Cargo Business Systems; Mm.lafleur; Empire Media Group; Tommy John; Parsons Igroup; Team Epiphany; Buro Happold Consulting,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture",7
"100 Church St, New York, NY, 10007",40.7130609,-74.0096199,31738,NA; Regus,NA; Coworking And Executive Suite Companies,2
"100 Crosby St, New York, NY, 10012",40.724028,-73.996957,66885,"NA; NA; NA; NA; NA; Rho; NA; Cedar Cares, Inc., Fka Careportal; 101 Studios; Billie (Personal Products); Cs Global; NA; Billie","NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Retail",13
"100 Park Ave, New York, NY, 10017",40.7513385,-73.9790005,1040057,Sun Capital Partners; Global Credit Advisors; NA; NA; NA; NA; NA; Itv Us Holdings; NA; NA; Alphasights; NA; NA; Neustar; NA; NA; NA; NA; Eaton Vance; NA; NA; Hq Global Workplaces; NA; NA; NA; NA; NA; Aetna; Wells Fargo; NA; NA; Numerix; Hunt Executive Search; Vox Funding; NA; NA; NA; NA; NA; NA; NA; AECOM; Tishman Realty Partners; Marek Capital Management; NA; Starz/Lionsgate; NA; NA; Alvarez & Marsal,"Financial Services And Insurance; NA; Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; Construction, Engineering And Architecture; Real Estate (Except Coworking Providers); Unclassifiable; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",49
"100 Pearl St, New York, NY, 10004",40.9073821,-73.8513921,840846,Nyc Health + Hospitals; Fred Alger Management; Securities And Exchange Commission; Open Squash,Healthcare; Financial Services And Insurance; Government; Personal Services And Recreation,4
"100 Wall St, New York, NY, 10005",40.7052203,-74.0067996,204969,NA; NA; NA; NA; Sheeley; NA; NA; Octavian; Pr Consulting; NA; NA; Foster Garvey; Trinity Life Sciences; NA; NA; NA; NA; NA; NA; NA; NA; Allocaterite Digital; Metis Associates; NA; NA; Foster Garvey,"NA; Legal Services; Financial Services And Insurance; Technology, Advertising, Media, And Information; Healthcare; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",26
"100 West 33rd St, New York, NY, 10001",40.7491551,-73.98929,600299,NA; Haddad Apparel Group; Interpublic Group (Ipg),"NA; Retail; Technology, Advertising, Media, And Information",3
"100 William St, New York, NY, 10038",40.7083413,-74.007174,58324,NA; NCSP; NA; Riverside Research; NA; NA; NA; NA; NA; NA,NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Pharmaceuticals,10
"100-104 5th Ave, New York, NY, 10011",40.8021613,-73.9453686,136515,NA; Red Ventures; NA; Brown Harris Stevens; NA; Accrue Savings; Superblocks; Adobe; NA; Battery Ventures; NA; NA; Secretaria,"NA; Financial Services And Insurance; Real Estate (Except Coworking Providers); Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",13
"1001 6th Ave, New York, NY, 10018",40.7520382,-73.9865605,143808,Accutime Watch; NA; NA; NA; NA; NA; NA; NA; NA; Two Roads Advisors; Accutime Watch; NA; NA; NA; NA; Offchain Labs; NA; NA; NA; Neo Philanthropy,"Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); NA; Financial Services And Insurance; Retail; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",20
"101 Avenue Of The Americas, New York, NY, 10013",40.7233776,-74.0054974,72178,NA; NA; NA; Ntopology,"NA; Technology, Advertising, Media, And Information",4
"101 Fifth Ave, New York, NY, 10003",40.9124482,-73.8092361,53980,Knotel; NA; Knotel; NA; NA; Srx Technologies; NA; Luma Partners,"Coworking And Executive Suite Companies; NA; Technology, Advertising, Media, And Information",8
"101 Greenwich St, New York, NY, 10006",40.7031288,-73.6203222,291117,NA; Percolate; NA; Seismic; Ocrolus; NA; NA; NA; NA; Botify; Petplan; NA; Smartly.io; NA; NA; Faust Goetz Schenker & Blee; Morris Duffy Alonso & Faley; NA; NA; Invnt; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Ocrolus; Simtech,"NA; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture; Financial Services And Insurance; Legal Services; Tbd",36
"101 Park Ave, New York, NY, 10178",40.7508308,-73.9776118,322856,Alliant Insurance; Nippon; Wendel North America; Incline Equity Partners; NA; Alliant Insurance; NA; Sills Cummis Epstein & Gross; NA; Federated Investors; Customers Bank; NA; Ci Financial Corp,"Financial Services And Insurance; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; NA; Legal Services; Tbd",13
"102 Madison Ave, New York, NY, 10016",40.7448725,-73.9852398,53036,NA; Knotel 102 Madison; Bombora; J&D Brush Holdings; NA,"NA; Coworking And Executive Suite Companies; Technology, Advertising, Media, And Information; Financial Services And Insurance",5
"104 E 25th St, New York, NY, 10010",40.7411344,-73.9848524,21200,Swann Auction Galleries,Retail,1
"104 W 27th St, New York, NY, 10001",40.74548,-73.9916663,53684,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Kairos Media,"NA; Technology, Advertising, Media, And Information",13
"104 W 29th St, New York, NY, 10001",40.7467094,-73.990804,27005,Atelier Ten Usa; NA,"Construction, Engineering And Architecture; NA",2
"104 W 40th St, New York, NY, 10018",40.7535612,-73.9858179,171705,NA; NA; NA; NA; NA; CIMB; NA; NA; NA; NA; NA; NA; Ivy Elite; NA; NA; Huntington Bank; NA; NA; NA; NA; NA; NA; NA; EDX,NA; Financial Services And Insurance,24
"104-110 Greene St, New York, NY, 10012",40.7214991,-74.0023134,267550,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Leanplum; NA; NA; Untuckit; NA; NA; NA; NA; NA; NA; Activant Capital; Manhattan Portage; NA; NA; NA; NA; NA; NA; NA; NA; Il Makiage; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Knotel; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information; Retail; Financial Services And Insurance; Coworking And Executive Suite Companies",77
"1040 Avenue of the Americas, New York, NY, 10018",40.7529923,-73.9850431,192866,NA; NA; Awh Partners; NA; NA; NA; NA; NA; B6 Real Estate Advisors; NA; Congregation Share Zedek; Dice; Uptv; Ladas & Perry; NA; Bonadio; Spivak Lipton; NA; Update; NA; Outdoor Sportman Group; NA,"NA; Real Estate (Except Coworking Providers); Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Legal Services; Technology, Advertising, Media, And Information; Unclassifiable",22
"105 E 17th St, New York, NY, 10003",40.7364606,-73.988553,124999,New York University,Education,1
"105 Madison Ave, New York, NY, 10016",40.7449703,-73.9848254,83700,NA; Knotel; NA; NA; NA,NA; Coworking And Executive Suite Companies,5
"105-113 Wooster St, New York, NY, 10012",40.7248005,-74.0005916,25200,Comcast,"Technology, Advertising, Media, And Information",1
"106 W 56th St, New York, NY, 10019",40.7637079,-73.9784075,40154,Electra Usa; NA; NA; NA; NA; NA; NA; NA; Commonwealth Partners; NA; NA; Barros & Errázuriz; Zachert Private Equity North America,NA,13
"107 Greenwich St, New York, NY, 10006",40.7080923,-74.013425,92313,Si Engineering; Lendbuzz; Puck; NA; NA; NA; NA; Prosight Speciality Insurance; NA; Revolut; NA,"Construction, Engineering And Architecture; Financial Services And Insurance; Technology, Advertising, Media, And Information; NA",11
"108 W 39th St, New York, NY, 10018",40.7529581,-73.9861021,36592,NA; Conan Steel; Offices; Offices; Offices; Offices; NA; Euro Joy Sportswear; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA; Retail,19
"1095 Avenue of the Americas, New York, NY, 10036",40.7546492,-73.9848112,731791,Lloyds Bank; Salesforce; Standard Chartered Bank; Standard Chartered Bank; VTS; Caisse De Dépôt Et Placement Du Québec (Cdp Capital); NA; NA; NA; Time; China Construction Bank; Stifel Bank; Dechert; Renaissancere; NA,"Financial Services And Insurance; Technology, Advertising, Media, And Information; Real Estate (Except Coworking Providers); NA; Legal Services; Unclassifiable",15
"11 Broadway, New York, NY, 10004",40.7053339,-74.0139867,236751,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Law Office; NA; NA; NA; NA; NA; Morgan Builders; NA; NA; NA; Oraiko; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Legal Services; Real Estate (Except Coworking Providers); Technology, Advertising, Media, And Information",124
"11 E 26th St, New York, NY, 10010",40.7434212,-73.9872464,140434,The Butterfly Network; NA; NA; Hasboro; NA; Activate; NA; Exemplis; NA; Holocene Advisors; NA; Jump Trading; Avenues: The World School,"Technology, Advertising, Media, And Information; NA; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail; Tbd; Financial Services And Insurance; Education",13
"11 E 44th St, New York, NY, 10017",40.7545013,-73.9789708,169116,NA; NA; NA; NA; Tech Tenant; Tech Tenant; VTEX; NA; NA; NA; NA; NA; NA; NA; NA; Italian Consulate; NA; NA; NA; Feintuch Communications; Hook Capital; NA; NA; Advan Research; NA; NA; NA; NA; Private Equity; NA; NA; NA; NA; NA; NA; Tech Tenant; Tech Tenant; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information; Government; Financial Services And Insurance",41
"11 Hanover Sq, New York, NY, 10005",40.7050351,-74.008818,18293,NA; DSCC; Future Us; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information",11
"11 Madison Ave, New York, NY, 10010",40.7415982,-73.9871904,146768,Beam Suntory; Hh Capital; Actioniq; Daniel Humm Hospitality,"Retail; Financial Services And Insurance; Technology, Advertising, Media, And Information",4
"11 Park Pl, New York, NY, 10007",40.7130513,-74.0084528,36805,NA; NA; NA; NA; M&R Strategic Services; Transfix; NA; NA,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Transportation",8
"11 Penn Plz, New York, NY, 10001",43.1318845,-77.4402082,1096126,Apple; Information Builders; Msg Networks; Aeropostale; Apple; Apple; Sparc Group; Apple,"Technology, Advertising, Media, And Information; Retail",8
"11 Times Sq, New York, NY, 10036",40.7566036,-73.989657,371902,NA; Chiesa Shahinian & Giantomasi; NA; USTA; Kepos Capital; NA; NA; Stx Commodities; NA; Datadog; Emarketer; NA; Datadog; NA; Sir Capital Management; Berry Appleman & Leiden; NA; Ducera Partners; Paige; Paige; Rli; NA,"NA; Legal Services; Personal Services And Recreation; Financial Services And Insurance; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd",22
"11 W 19th St, New York, NY, 10011",40.7396106,-73.9923652,208000,Tory Burch; Capital One,Retail; Financial Services And Insurance,2
"11 W 42nd St, New York, NY, 10036",40.75428,-73.9818564,754614,CIT; Burberry; NA; Michael Kors; NA; Studio; NA; CUNY; National Public Radio; New York University; Machine Investment Group; NA; Capitolis; Kohn Pedersen Fox Associates; NA,"Financial Services And Insurance; Retail; Tbd; NA; Coworking And Executive Suite Companies; Education; Technology, Advertising, Media, And Information; Construction, Engineering And Architecture",15
"110 E 42nd St, New York, NY, 10017",40.7514708,-73.9772364,102289,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Principium Psychiatry; NA; NA; NA; NA; NA; NA; Braverman Greenspun,NA; Unclassifiable; Legal Services,18
"110 E 59th St, New York, NY, 10022",40.7622471,-73.9694737,311838,"Royalty Pharma, Rp Management Llc; Cantor Fitzgerald; Mason Capital; NA; Quest Partners; ZMC; Rp Management; Stark Office Suites",Financial Services And Insurance; NA; Coworking And Executive Suite Companies,8
"110 E 60th St, New York, NY, 10022",40.7631025,-73.9688353,15300,NA,NA,1
"110 Fifth Ave, New York, NY, 10011",40.9124979,-73.8088497,96282,NA; Compass,NA; Real Estate (Except Coworking Providers),2
"110 Leroy St, New York, NY, 10014",40.7300278,-74.0076437,9433,NA,Tbd,1
"110 W 40th St, New York, NY, 10018",40.7537079,-73.9859649,56691,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,42
"110 William St, New York, NY, 10038",40.7087066,-74.0069715,1020215,Velez Organization; NA; Tip Top Capital; NA; Knotel; The City Of New York Department Of Citywide Administrative Services (Dcas); NA; NA; ACS; NA; Knotel; NA; School Construction Authority; NA; NA; NA,NA; Financial Services And Insurance; Coworking And Executive Suite Companies; Government; Tbd,16
"111 Broadway, New York, NY, 10006",40.7085239,-74.0112472,183391,"Grapeshot; Photoshelter; NA; NA; NA; Signature Bank; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Solutionflows; NA; NA; NA; NA; Cornell Grace,; NA; Investors Bank; NA; NA; NA","Technology, Advertising, Media, And Information; NA; Financial Services And Insurance; Legal Services; Unclassifiable",32
"111 Fifth Ave, New York, NY, 10003",40.912689,-73.8092467,205830,Love Shack Factory; NBBJ; NA; NA; Vita Coco; Taconic Investment Partners; Express,Retail; Coworking And Executive Suite Companies; Tbd; NA; Financial Services And Insurance,7
"111 John St, New York, NY, 10038",40.7077753,-74.0055755,118053,NA; True North Acupuncture; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Christophe Law Firm; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,54
"111 W 33rd St, New York, NY, 10001",40.7493864,-73.9886217,726821,NA; Anaplan; NA; Securityscorecard; NA; Naik Consulting Group; NA; Jrm Construction Management; Nespresso; L'occitane; NA; NA; NA; NA; NA; NA; NA; Clearview Healthcare Partners; NA; Interpublic Group Of; Interpublic Group; Easyknock; NA; Diligent; Diligent Partners; Fojp Service; NA; Clearview Healthcare Partners; NA; Luminus Management; NA; Chd Home Textiles; NA; Elemis; L'occitane; NA,"NA; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Construction, Engineering And Architecture; Retail; Financial Services And Insurance; Healthcare; Tbd",36
"111-119 W 19th St, New York, NY, 10011",40.740965,-73.9958313,138000,Flexport; NA; Ripple; New Fortress Energy; Outbrain; Clay Labs,"Technology, Advertising, Media, And Information; NA; Financial Services And Insurance; Energy & Utilities",6
"1114 Avenue of the Americas, New York, NY, 10036",40.7546914,-73.9826746,1128597,Campari America; NA; Steptoe & Johnson; Israel Discount Bank; NA; Hg Capital; NA; NA; NA; Amp Capital Investors; NA; Vinson & Elkins; Evershed Sutherland; Colliers; Istar; NA; NA; The Trade Desk; Vinson & Elkins; Israel Discount Bank (Idb); Bain &; Antin Infrastructure Partners; Brunswick Group; Flow Traders; NA; The Trade Desk; NA; NA; NA; NA; Arch Insurance; NA; NA,"Retail; NA; Legal Services; Financial Services And Insurance; Tbd; Real Estate (Except Coworking Providers); Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",33
"112-114 W 14th St, New York, NY, 10011",40.7391662,-74.0011109,15931,Demandbase,"Technology, Advertising, Media, And Information",1
"112-116 Madison Ave, New York, NY, 10016",40.7480989,-73.9827173,24750,NA; NA; NA,NA,3
"1120 Avenue of the Americas, New York, NY, 10036",40.7559085,-73.9830221,567795,NA; NA; Revolvercap; NA; NA; NA; Israel Englander; NA; Hedge Fund; NA; Sojitz Corporation Of America; NA; NA; NA; Bbc Studios; NA; NA; AWAS; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Mariana Everest Capital Consultants; NA; Squire Patton Boggs; Captain Capital Management; Outset Global; NA; NA; NA; NA; NA; NA; NA; NA; Indeed; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Investment; NA; BBC; Quantcast; NA; NA; NA; NA; NA; NA,"NA; Financial Services And Insurance; Retail; Tbd; Technology, Advertising, Media, And Information; Legal Services; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",69
"1123 Broadway, New York, NY, 10010",40.7433234,-73.9892375,51220,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,65
"1133 Avenue of the Americas, New York, NY, 10036",40.7557898,-73.9836408,187379,NA; NA; NA; NA; Interactive Brokers Group; NA; Take-Two Interactive; Take-Two Interactive; Gcube Insurance; Charles Schwab; NA; Schindler Elevator; NA; NA; Nussbaum Law Firm,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Legal Services",15
"1133 Broadway, New York, NY, 10010",40.7435762,-73.9892435,108874,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,105
"114 Crosby St, New York, NY, 10012",43.0386545,-77.093275,89238,NA; NA; Pilates Studio; NA; NA; NA; NA; NA; NA; Dubin Research & Consulting; NA; NA; NA; Khaite; NA; NA; NA; NA; Arc'teryx,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail",19
"114 W 26th St, New York, NY, 10001",40.7449804,-73.9923808,37200,NA; NA; NA; NA,NA,4
"114 W 41st St, New York, NY, 10036",40.7544782,-73.9855838,257684,Demandbase; Roku; Anaheiser Busch; Snowflake Computing; NA; Celonis; Analytic Partners; NA; NA; Spring Fertility; NA; NA; View The Space,"Technology, Advertising, Media, And Information; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Tbd; NA; Healthcare",13
"114 W 47th St, New York, NY, 10036",40.7581783,-73.9829836,133417,NA; Ifm Investors Pty; NA; Directv; Ifm Investors; NA; NA; NA; L.e.k. Consulting,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",9
